CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
1.01001E+11,7/21/2014 12:49,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,404 Marlborough St  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,R4,404 Marlborough St,2115,42.35002,-71.08834,Constituent Call
1.01001E+11,2/12/2014 12:40,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,36-38 Harrison Ave  Boston  MA  02111,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,RC,36-38 Harrison Ave,2111,42.35177,-71.061,Constituent Call
1.01001E+11,6/24/2014 8:57,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,44 Wildwood St  Dorchester  MA  02124,8,7,4,B3,Greater Mattapan,9,Ward 14,1405,R2,44 Wildwood St,2124,42.28321,-71.08805,Constituent Call
1.01001E+11,6/23/2014 9:15,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,379 River St  Mattapan  MA  02126,8,7,4,B3,Greater Mattapan,9,Ward 18,1804,R2,379 River St,2126,42.27029,-71.08865,Constituent Call
1.01001E+11,5/2/2014 13:30,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
1.01001E+11,6/21/2014 13:46,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,17 Pleasant St  Dorchester  MA  02125,7,3,3,C11,Dorchester,7,Ward 13,1306,R3,17 Pleasant St,2125,42.31753,-71.05943,Constituent Call
1.01001E+11,7/23/2013 12:07,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,171 Trenton St  East Boston  MA  02128,1,9,1,A7,East Boston,1,Ward 1,109,R3,171 Trenton St,2128,42.38021,-71.03242,Self Service
1.01001E+11,7/22/2014 20:35,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,119 W Newton St  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 4,403,R4,119 W Newton St,2118,42.34184,-71.07682,Self Service
1.01001E+11,7/22/2014 11:29,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,175-175A Chestnut Ave  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1904,R2,175-175A Chestnut Ave,2130,42.31684,-71.10713,Self Service
1.01001E+11,7/23/2014 10:18,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,41 De Soto Rd  West Roxbury  MA  02132,12,6,6,E5,West Roxbury,10,Ward 20,2003,R1,41 De Soto Rd,2132,42.26152,-71.15403,Self Service
